id,gpa,gre,college_prep,major_applied,num_ext_act,num_ap_passed,essay_score,num_letter_rec,fasfa_status,admission
1,3.43,284,Yes,Communications,1,8,6,3,Completed,Rejected
2,3.31,297,Yes,Communications,4,8,10,3,In Progress,Accepted
3,3.08,304,Yes,Life Sciences,0,5,7,3,Not Started,Accepted
4,3.7,309,Yes,Social Sciences,0,7,4,2,In Progress,Accepted
5,3.04,295,No,Communications,5,5,10,2,Completed,Accepted
6,3.4,299,Yes,Business,0,3,8,3,Completed,Accepted
7,3.81,290,Yes,Business,5,7,8,3,In Progress,Rejected
8,2.75,308,Yes,Social Sciences,5,6,9,1,Completed,Rejected
9,2.87,299,No,Language,0,7,4,3,Completed,Rejected
10,3.17,300,Yes,Social Sciences,1,0,5,2,Not Started,Accepted
11,3.84,309,Yes,Social Sciences,5,6,4,1,Completed,Rejected
12,3.65,273,No,Social Sciences,3,5,3,2,Completed,Accepted
13,3.09,324,Yes,Social Sciences,5,1,8,2,Completed,Accepted
14,2.62,286,Yes,Life Sciences,5,0,4,3,In Progress,Accepted
15,3.35,310,Yes,Arts,2,5,7,1,Completed,Accepted
16,2.71,288,Yes,Social Sciences,3,6,9,1,Not Started,Accepted
17,2.85,299,Yes,Business,1,8,9,2,Completed,Rejected
18,2.54,294,Yes,Life Sciences,3,0,7,3,In Progress,Accepted
19,3.27,277,Yes,Social Sciences,2,4,3,3,Completed,Accepted
20,3.05,277,Yes,Life Sciences,5,7,10,2,In Progress,Accepted
21,3.17,296,Yes,Language,2,6,8,3,Completed,Accepted
22,3.37,307,Yes,Life Sciences,0,1,10,1,In Progress,Accepted
23,3.74,286,No,Social Sciences,4,2,6,2,Completed,Accepted
24,2.61,307,No,History,4,0,6,1,In Progress,Accepted
25,2.57,299,No,Social Sciences,3,0,4,2,In Progress,Accepted
26,3.45,306,Yes,Social Sciences,4,0,4,3,In Progress,Accepted
27,3.06,274,Yes,Engineering,1,0,6,3,In Progress,Accepted
28,3.71,317,No,Social Sciences,3,3,5,2,Completed,Rejected
29,2.87,292,Yes,Language,1,0,9,2,In Progress,Rejected
30,3.28,280,Yes,Social Sciences,2,1,6,2,Completed,Accepted
31,2.58,304,Yes,Life Sciences,5,3,5,2,Completed,Rejected
32,3.91,300,Yes,Social Sciences,2,3,7,3,Completed,Accepted
33,3.7,301,Yes,Engineering,2,1,9,1,In Progress,Accepted
34,3.64,312,Yes,Social Sciences,2,5,4,3,Completed,Rejected
35,3.45,268,Yes,History,1,2,3,1,Completed,Accepted
36,3.1,292,Yes,Social Sciences,2,6,5,2,Completed,Accepted
37,3.75,313,Yes,Life Sciences,2,3,5,3,Completed,Accepted
38,2.56,302,Yes,Life Sciences,2,2,10,2,Completed,Accepted
39,3.35,303,Yes,Business,5,1,5,3,Completed,Accepted
40,3.81,322,Yes,Language,0,0,9,2,Completed,Rejected
41,3.2,302,No,History,1,1,3,1,Completed,Accepted
42,3.33,289,Yes,Communications,0,1,5,1,Completed,Accepted
43,2.82,311,Yes,Communications,2,2,4,1,Completed,Rejected
44,2.58,298,Yes,Social Sciences,4,8,3,2,Completed,Accepted
45,3.58,306,No,Communications,3,4,10,3,Not Started,Accepted
