id,gender,age,annual_income,spending_score,perf_shop_meth,member_level
1,Female,48,29189.97,90,InStore,none
2,Female,40,10242.24,39,InStore,gold
3,Male,71,20388.37,48,InStore,silver
4,Female,72,57062.15,43,InStore,none
5,Agender,81,64736.13,44,InStore,gold
6,Male,36,63507.51,44,BOPS,none
7,Genderfluid,70,64171.39,48,InStore,none
8,Female,42,39052.18,57,Online,silver
9,Male,23,51049.94,36,Online,silver
10,Female,35,47359.97,38,Online,none
11,Female,57,83759.8,79,InStore,gold
12,Male,37,54576.97,62,InStore,silver
13,Bigender,44,30957.34,46,InStore,none
14,Female,54,57346.53,71,InStore,gold
15,Male,72,52125.27,52,InStore,gold
16,Male,44,67935.96,65,InStore,none
17,Polygender,79,55847.17,88,Online,none
18,Female,55,56958.35,39,Online,none
19,Male,36,45298.8,39,Online,silver
20,Male,83,50088.75,73,InStore,none
21,Male,77,72359.34,90,InStore,silver
22,Male,48,79969.49,38,InStore,none
23,Male,41,32916.63,70,BOPS,none
24,Male,51,75157.85,61,InStore,silver
25,Female,57,73841.37,46,InStore,gold
26,Male,51,55450.21,80,InStore,platinum
27,Female,48,51709.84,38,InStore,none
28,Male,26,36980.03,44,InStore,silver
29,Female,59,57609.65,72,Online,gold
30,Female,44,63538.72,67,InStore,none
31,Male,41,37950.32,86,InStore,none
32,Male,80,49388.61,50,Online,none
33,Female,39,17330.98,74,Online,none
34,Male,81,51909.66,90,InStore,gold
35,Female,37,69996.13,43,InStore,silver
36,Male,78,41576.71,90,BOPS,gold
37,Bigender,38,74575.93,77,InStore,silver
38,Male,40,78703.35,90,InStore,silver
39,Male,52,62111.44,37,InStore,gold
40,Female,43,97392.46,56,Online,none
41,Female,76,60592.34,37,BOPS,silver
42,Female,39,45844.46,85,InStore,none
43,Female,72,68074.14,39,Online,gold
44,Non-binary,23,49385.06,81,Online,silver
45,Male,28,85944.63,80,BOPS,silver
46,Male,21,82654.54,85,InStore,none
47,Female,36,56058.01,40,InStore,none
48,Genderqueer,42,47276.4,70,InStore,silver
49,Male,79,40640.29,90,Online,none
50,Male,27,46584.94,66,InStore,silver
51,Male,62,43232.76,81,InStore,none
52,Genderqueer,60,16517.7,38,Online,silver
53,Male,39,43728.24,48,InStore,none
54,Female,24,58185.39,89,Online,silver
55,Female,55,48308.31,59,InStore,none
56,Female,49,51270.98,61,InStore,gold
57,Male,73,37438.59,47,Online,silver
